;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7;Café Moulu ;5.92;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";5.92;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";5.92;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";5.92;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";7.55;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";5.92;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";5.92;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]";7.7;"[""l'or absolu - café moulu - 100% arabica - aromatique et raffiné - intensité 7""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or barista - café - 10 capsules xxl compatible système l'or barista - double splendente intensité 7;104g ;;;;;;;;;;;4.81;"[""l'or barista - café - 10 capsules xxl compatible système l'or barista - double splendente intensité 7""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or barista - double ristretto - 10 capsules - intensité 11 - café;104g ;;;;;;;;;;;4.82;"[""l'or barista - double ristretto - 10 capsules - intensité 11 - café""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or barista - grand café filtre - 10 capsules - intensité 5;107g ;;;;;;;;;;;4.85;"[""l'or barista - grand café filtre - 10 capsules - intensité 5""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or brésil - grand cru - café en grains - subtil et déli;Café en Grains ;;;;;;;;;;;7.4;"[""l'or brésil - grand cru - café en grains - subtil et déli"", '']";7.4;"[""l'or brésil - grand cru - café en grains - subtil et déli"", '']";;
Épicerie sucrée;Cafés et boissons chaudes;l'or café - ristretto décaféiné - 10 capsules - intensité 9;52g ;3.07;"[""l'or café - ristretto décaféiné - 10 capsules - intensité 9""]";;;;;;;;;3.07;"[""l'or café - ristretto décaféiné - 10 capsules - intensité 9""]";3.07;"[""l'or café - ristretto décaféiné - 10 capsules - intensité 9""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or café capsule - expresso  colombie - x10;52g ;;;;;;;;;;;3.59;"[""l'or café capsule - expresso  colombie - x10""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or café moulu - biologique;Café Moulu ;;;;;;;;;;;7.37;"[""l'or café moulu - biologique""]";7.37;"[""l'or café moulu - biologique""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or classique - cafe soluble;Café Soluble ;3.3;"[""l'or classique - cafe soluble""]";;;;;;;;;3.3;"[""l'or classique - cafe soluble""]";3.3;"[""l'or classique - cafe soluble""]";4.85;"[""l'or classique - cafe soluble""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or classique - cafe soluble - recharge;Café Soluble ;3.96;"[""l'or classique - cafe soluble - recharge""]";;;;;;;;;3.96;"[""l'or classique - cafe soluble - recharge""]";3.96;"[""l'or classique - cafe soluble - recharge""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or classique - cafe soluble stick x25;Café Soluble ;;;;;;;;;2.33;"[""l'or classique - cafe soluble stick x25""]";;;;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or decafeiné - café;2x250g ;;;;;;;;;;;6.45;"[""l'or decafeiné - café""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or delizioso espresso - café - 40 capsules;208g ;9.83;"[""l'or delizioso espresso - café - 40 capsules""]";;;;;;;;;9.83;"[""l'or delizioso espresso - café - 40 capsules""]";9.83;"[""l'or delizioso espresso - café - 40 capsules""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or doux - café moulu;Café Moulu ;6.45;"[""l'or doux - café moulu""]";6.45;"[""l'or doux - café moulu""]";;;6.45;"[""l'or doux - café moulu""]";;;6.45;"[""l'or doux - café moulu""]";6.45;"[""l'or doux - café moulu""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or doux - café moulu - 100% arabica - intensité 5;Café Moulu ;5.87;"[""l'or doux - café moulu - 100% arabica - intensité 5""]";5.87;"[""l'or doux - café moulu - 100% arabica - intensité 5""]";5.87;"[""l'or doux - café moulu - 100% arabica - intensité 5""]";;;7.7;"[""l'or doux - café moulu - 100% arabica - intensité 5""]";3.22;"[""l'or doux - café moulu - 100% arabica - intensité 5""]";3.22;"[""l'or doux - café moulu - 100% arabica - intensité 5""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso  forza - café - capsules - intensité 9;x40 ;9.61;"[""l'or espresso  forza - café - capsules - intensité 9""]";9.61;"[""l'or espresso  forza - café - capsules - intensité 9""]";9.61;"[""l'or espresso  forza - café - capsules - intensité 9""]";9.61;"[""l'or espresso  forza - café - capsules - intensité 9""]";;;9.61;"[""l'or espresso  forza - café - capsules - intensité 9""]";9.61;"[""l'or espresso  forza - café - capsules - intensité 9""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - 10 capsules aluminium - biologique;Capsules Aluminium;;;;;;;;;;;6.83;"[""l'or espresso - 10 capsules aluminium - biologique""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café;Capsules Aluminium ;2.64;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";2.64;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";2.64;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";2.64;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";3.39;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";2.64;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";2.64;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]";3.44;"[""l'or espresso - decaffeinato - 10 capsules aluminium- intensité 6 - café""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - decaffeinato - 20 capsules aluminium - intensité 6 - café;Capsules Aluminium ;;;;;;;;;;;4.99;"[""l'or espresso - decaffeinato - 20 capsules aluminium - intensité 6 - café""]";4.99;"[""l'or espresso - decaffeinato - 20 capsules aluminium - intensité 6 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café;Capsules Aluminium ;2.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]";2.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]";2.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]";2.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]";;;2.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]";2.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]";3.58;"[""l'or espresso - delizio - 10 capsules aluminium - intensité 5 - café""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café;Capsules Aluminium ;4.98;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]";4.98;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]";4.98;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]";4.98;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]";;;4.98;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]";4.98;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]";7.11;"[""l'or espresso - delizioso - 20 capsules aluminium - intensité 5 - café""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - forza - 10 capsules aluminium - intensité 9 - café;Capsules Aluminium ;2.65;"[""l'or espresso - forza - 10 capsules aluminium - intensité 9 - café""]";2.65;"[""l'or espresso - forza - 10 capsules aluminium - intensité 9 - café""]";2.65;"[""l'or espresso - forza - 10 capsules aluminium - intensité 9 - café""]";2.65;"[""l'or espresso - forza - 10 capsules aluminium - intensité 9 - café""]";;;2.65;"[""l'or espresso - forza - 10 capsules aluminium - intensité 9 - café""]";2.65;"[""l'or espresso - forza - 10 capsules aluminium - intensité 9 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - forza - 20 capsules aluminium - intensité 9 - maxi format - café;Capsules Aluminium ;4.94;"[""l'or espresso - forza - 20 capsules aluminium - intensité 9 - maxi format - café""]";;;;;4.94;"[""l'or espresso - forza - 20 capsules aluminium - intensité 9 - maxi format - café""]";;;4.94;"[""l'or espresso - forza - 20 capsules aluminium - intensité 9 - maxi format - café""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - lungo elegante - 10 capsules aluminium - intensité 6 - café;Capsules Aluminium ;3.19;"[""l'or espresso - lungo elegante - 10 capsules aluminium - intensité 6 - café""]";3.19;"[""l'or espresso - lungo elegante - 10 capsules aluminium - intensité 6 - café""]";;;3.19;"[""l'or espresso - lungo elegante - 10 capsules aluminium - intensité 6 - café""]";;;3.19;"[""l'or espresso - lungo elegante - 10 capsules aluminium - intensité 6 - café""]";3.19;"[""l'or espresso - lungo elegante - 10 capsules aluminium - intensité 6 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café;Capsules Aluminium ;2.99;"[""l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café""]";2.99;"[""l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café""]";2.99;"[""l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café""]";2.99;"[""l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café""]";;;2.99;"[""l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café""]";2.99;"[""l'or espresso - lungo mattinata - 10 capsules aluminium - intensité 5 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café;Capsules Aluminium ;2.89;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]";2.89;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]";2.89;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]";2.89;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]";;;2.89;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]";2.89;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]";3.8;"[""l'or espresso - lungo profondo - 10 capsules aluminium - intensité 8 - café""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - lungo profondo - intensité 08 - 20 capsules;104g ;5.66;"[""l'or espresso - lungo profondo - intensité 08 - 20 capsules""]";;;;;;;;;5.66;"[""l'or espresso - lungo profondo - intensité 08 - 20 capsules""]";5.66;"[""l'or espresso - lungo profondo - intensité 08 - 20 capsules""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - onyx - 10 capsules aluminium - intensité 12 - café;Capsules Aluminium ;;;;;;;;;;;3.19;"[""l'or espresso - onyx - 10 capsules aluminium - intensité 12 - café""]";3.19;"[""l'or espresso - onyx - 10 capsules aluminium - intensité 12 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café;Capsules Aluminium ;2.95;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]";2.95;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]";2.95;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]";2.95;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]";;;2.95;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]";2.95;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]";3.44;"[""l'or espresso - or absolu - 10 capsules aluminium - intensité 9 - café""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - or absolu - 20 capsules aluminium - intensité 9 - café;Capsules Aluminium ;;;;;;;;;;;5.99;"[""l'or espresso - or absolu - 20 capsules aluminium - intensité 9 - café""]";5.99;"[""l'or espresso - or absolu - 20 capsules aluminium - intensité 9 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café;Capsules Aluminium ;2.99;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";2.99;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";2.99;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";2.99;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";4.19;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";2.99;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";2.99;"[""l'or espresso - or rose - 10 capsules aluminium - intensité 7 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café;Capsules Aluminium ;2.68;"[""l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café""]";2.68;"[""l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café""]";2.68;"[""l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café""]";2.68;"[""l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café""]";;;2.68;"[""l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café""]";2.68;"[""l'or espresso - ristretto - 10 capsules aluminium - intensité 11 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - ristretto - 20 capsules aluminium - intensité 11 - café;Capsules Aluminium ;4.95;"[""l'or espresso - ristretto - 20 capsules aluminium - intensité 11 - café""]";4.95;"[""l'or espresso - ristretto - 20 capsules aluminium - intensité 11 - café""]";4.95;"[""l'or espresso - ristretto - 20 capsules aluminium - intensité 11 - café""]";4.95;"[""l'or espresso - ristretto - 20 capsules aluminium - intensité 11 - café""]";;;4.95;"[""l'or espresso - ristretto - 20 capsules aluminium - intensité 11 - café""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - ristretto - 40 capsules aluminium - intensité 11 - maxi pack - café;Capsules Aluminium ;;;;;;;;;;;9.63;"[""l'or espresso - ristretto - 40 capsules aluminium - intensité 11 - maxi pack - café""]";9.63;"[""l'or espresso - ristretto - 40 capsules aluminium - intensité 11 - maxi pack - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - satinato - 10 capsules aluminium - intensité 6 - café;Capsules Aluminium ;;;;;;;;;;;2.84;"[""l'or espresso - satinato - 10 capsules aluminium - intensité 6 - café""]";2.84;"[""l'or espresso - satinato - 10 capsules aluminium - intensité 6 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - sontuoso - 10 capsules aluminium - intensité 8 - café;Capsules Aluminium ;;;;;;;;;;;2.72;"[""l'or espresso - sontuoso - 10 capsules aluminium - intensité 8 - café""]";2.72;"[""l'or espresso - sontuoso - 10 capsules aluminium - intensité 8 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café;Capsules Aluminium ;2.62;"[""l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café""]";2.62;"[""l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café""]";2.62;"[""l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café""]";2.62;"[""l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café""]";;;2.62;"[""l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café""]";2.62;"[""l'or espresso - splendente - 10 capsules aluminium - intensité 7 - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - splendente - 40 capsules aluminium - intensité 7 - maxi pack - café;Capsules Aluminium ;;;;;;;;;;;9.7;"[""l'or espresso - splendente - 40 capsules aluminium - intensité 7 - maxi pack - café""]";9.7;"[""l'or espresso - splendente - 40 capsules aluminium - intensité 7 - maxi pack - café""]";;
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café;Capsules Aluminium ;;;2.67;"[""l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café""]";2.67;"[""l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café""]";2.67;"[""l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café""]";;;2.67;"[""l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café""]";2.67;"[""l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café""]";3.6;"[""l'or espresso - supremo - 10 capsules aluminium - intensité 10 - café""]"
Épicerie sucrée;Cafés et boissons chaudes;l'or espresso bio - cafe en capsules x 10 - intensité 7;52g ;2.99;"[""l'or espresso bio - cafe en capsules x 10 - intensité 7""]";;;;;;;;;2.99;"[""l'or espresso bio - cafe en capsules x 10 - intensité 7""]";2.99;"[""l'or espresso bio - cafe en capsules x 10 - intensité 7""]";;
