;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; poires - variété william verte - ;De 800g à 1kg ;3.99;[' poires - variété william verte - ', '. 1'];3.99;[' poires - variété william verte - ', '. 1'];3.99;[' poires - variété william verte - ', '. 1'];3.99;[' poires - variété william verte - ', '. 1'];4.99;[' poires - variété william verte - ', '. 1'];3.99;[' poires - variété william verte - ', '. 1'];3.99;[' poires - variété william verte - ', '. 1'];3.99;[' poires - variété william verte - ', '. 1']
Fruits et légumes;Fruits; pomelos rose - ;La pièce;1.39;[' pomelos rose - ', '.1'];1.39;[' pomelos rose - ', '.1'];1.39;[' pomelos rose - ', '.1'];1.39;[' pomelos rose - ', '.1'];1.49;[' pomelos rose - ', '.1'];1.39;[' pomelos rose - ', '.1'];1.39;[' pomelos rose - ', '.1'];1.49;[' pomelos rose - ', '.1']
Fruits et légumes;Fruits; pomelos rouges - ;x2;;;;;3.99;[' pomelos rouges - ', '.2 - biologique'];3.99;[' pomelos rouges - ', '.2 - biologique'];;;3.99;[' pomelos rouges - ', '.2 - biologique'];;;;
Fruits et légumes;Fruits; pomme - variété golden - ;De 800g à 1kg ;;;;;;;;;1.99;[' pomme - variété golden - ', '. 1'];;;;;2.19;[' pomme - variété golden - ', '. 1']
Fruits et légumes;Fruits; pomme pink lady - ;x6 ;;;;;3.79;[' pomme pink lady - ', '. 1'];;;;;3.79;[' pomme pink lady - ', '. 1'];3.79;[' pomme pink lady - ', '. 1'];;
Fruits et légumes;Fruits; pommes - variété  gala - ;2kg ;4.99;[' pommes - variété  gala - ', '. 1'];;;;;;;;;;;4.99;[' pommes - variété  gala - ', '. 1'];;
Fruits et légumes;Fruits; pommes - variété ariane - ;x6 ;;;;;;;;;;;3.49;[' pommes - variété ariane - ', '. 2 - biologique'];;;;
Fruits et légumes;Fruits; pommes - variété braeburn - ;De 800g à 1kg ;;;;;2.99;[' pommes - variété braeburn - ', '. 1'];2.99;[' pommes - variété braeburn - ', '. 1'];;;2.99;[' pommes - variété braeburn - ', '. 1'];2.99;[' pommes - variété braeburn - ', '. 1'];;
Fruits et légumes;Fruits; pommes - variété canada grises - ;De 800g à 1kg ;3.49;[' pommes - variété canada grises - ', '. 1'];;;3.49;[' pommes - variété canada grises - ', '. 1'];;;3.49;[' pommes - variété canada grises - ', '. 1'];3.49;[' pommes - variété canada grises - ', '. 1'];3.49;[' pommes - variété canada grises - ', '. 1'];3.59;[' pommes - variété canada grises - ', '. 1']
Fruits et légumes;Fruits; pommes - variété crimson - ;x4 ;;;;;;;2.99;[' pommes - variété crimson - ', '. 2 - biologique'];;;2.99;[' pommes - variété crimson - ', '. 2 - biologique'];;;;
Fruits et légumes;Fruits; pommes - variété cripps pink - ;x4;;;;;;;;;;;2.99;[' pommes - variété cripps pink - ', '. 2 - biologique'];;;;
Fruits et légumes;Fruits; pommes - variété fuji - ;De 800g à 1kg ;;;;;;;;;;;2.99;[' pommes - variété fuji - ', '. 1'];;;;
Fruits et légumes;Fruits; pommes - variété gala - ;De 800g à 1kg ;2.79;[' pommes - variété gala - ', '. 1'];2.79;[' pommes - variété gala - ', '. 1'];2.79;[' pommes - variété gala - ', '. 1'];2.79;[' pommes - variété gala - ', '. 1'];2.59;[' pommes - variété gala - ', '. 1'];2.79;[' pommes - variété gala - ', '. 1'];2.79;[' pommes - variété gala - ', '. 1'];3.49;[' pommes - variété gala - ', '. 1']
Fruits et légumes;Fruits; pommes - variété golden - ;2kg ;;;;;2.79;[' pommes - variété golden - ', '. 1'];;;2.99;[' pommes - variété golden - ', '. 1'];2.79;[' pommes - variété golden - ', '. 1'];2.79;[' pommes - variété golden - ', '. 1'];;
Fruits et légumes;Fruits; pommes - variété golden - ;x6 ;;;;;3.49;[' pommes - variété golden - ', '. 1'];;;;;3.49;[' pommes - variété golden - ', '. 1'];3.49;[' pommes - variété golden - ', '. 1'];;
Fruits et légumes;Fruits; pommes - variété golden - sans résidu de pesticides - ;x4 ;;;;;;;;;;;2.79;[' pommes - variété golden - sans résidu de pesticides - ', '. 1'];;;;
Fruits et légumes;Fruits; pommes - variété golden label rouge - ;De 800g à 1kg ;2.99;[' pommes - variété golden label rouge - ', '. 1'];2.99;[' pommes - variété golden label rouge - ', '. 1'];2.99;[' pommes - variété golden label rouge - ', '. 1'];2.99;[' pommes - variété golden label rouge - ', '. 1'];1.29;[' pommes - variété golden label rouge - ', '. 1'];2.99;[' pommes - variété golden label rouge - ', '. 1'];2.99;[' pommes - variété golden label rouge - ', '. 1'];3.89;[' pommes - variété golden label rouge - ', '. 1']
Fruits et légumes;Fruits; pommes - variété granny - ;De 800g à 1kg ;2.99;[' pommes - variété granny - ', '. 1'];;;2.99;[' pommes - variété granny - ', '. 1'];;;;;2.99;[' pommes - variété granny - ', '. 1'];2.99;[' pommes - variété granny - ', '. 1'];;
Fruits et légumes;Fruits; pommes - variété jazz - ;De 800g à 1kg ;;;;;;;;;;;3.49;[' pommes - variété jazz - ', '. 1'];;;;
Fruits et légumes;Fruits; pommes - variété pink lady - ;De 800g à 1kg ;3.79;[' pommes - variété pink lady - ', '. 1'];3.79;[' pommes - variété pink lady - ', '. 1'];3.79;[' pommes - variété pink lady - ', '. 1'];3.79;[' pommes - variété pink lady - ', '. 1'];2.59;[' pommes - variété pink lady - ', '. 1'];3.79;[' pommes - variété pink lady - ', '. 1'];3.79;[' pommes - variété pink lady - ', '. 1'];4.99;[' pommes - variété pink lady - ', '. 1']
Fruits et légumes;Fruits; pommes canada - ;x4 ;;;;;2.99;[' pommes canada - ', '.2 - biologique'];2.99;[' pommes canada - ', '.2 - biologique'];3.69;[' pommes canada - ', '.2 - biologique'];2.99;[' pommes canada - ', '.2 - biologique'];;;;
Fruits et légumes;Fruits; pommes chanteclerc - ;De 800g à 1kg ;3.49;[' pommes chanteclerc - ', '. 1'];;;3.49;[' pommes chanteclerc - ', '. 1'];3.49;[' pommes chanteclerc - ', '. 1'];3.49;[' pommes chanteclerc - ', '. 1'];3.49;[' pommes chanteclerc - ', '. 1'];3.49;[' pommes chanteclerc - ', '. 1'];3.99;[' pommes chanteclerc - ', '. 1']
Fruits et légumes;Fruits; pommes gala - sans résidu de pesticides - ;x4 ;;;;;2.79;[' pommes gala - sans résidu de pesticides - ', '. 1'];;;;;;;2.79;[' pommes gala - sans résidu de pesticides - ', '. 1'];;
