categorie;type;nom;poids;prix_par_kg;prix;promo
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice riz parfumé;60g (29,17€/KG);1,75€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice spaghetti;85g (20,59€/KG);1,75€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice tandoori;75g (26,53€/KG);1,99€;non
Légumes;null; Oignon frit;55g (23,45€/KG);1,29€;non
Légumes;null;LA CONQUETE DES SAVEURS Paprika doux;75g (26,53€/KG);1,99€;non
Légumes;null; Persil flocons;18g (60,56€/KG);1,09€;non
Légumes;null;LA CONQUETE DES SAVEURS Piment doux imperator;75g (23,87€/KG);1,79€;non
Légumes;null;LA CONQUETE DES SAVEURS Safran;4g (1497,50€/KG);5,99€;non
Légumes;null;LA CONQUETE DES SAVEURS Sésame doré;100g (24,90€/KG);2,49€;non
Légumes;null; Laurier - Cat. 1;30g (46,33€/KG);1,39€;non
Légumes;null; Mini bouquet thym et laurier;20g (119,50€/KG);2,39€;non
Légumes;null; Thym - Cat. 1;30g (46,33€/KG);1,39€;non
Légumes;null;FESTIFRUITS Basilic feuilles;35g (31,43€/KG);1,10€;non
Légumes;null;FESTIFRUITS Ciboulette tibulaire;15g (73,33€/KG);1,10€;non
Légumes;null; Feuille de thym;40g (38,75€/KG);1,55€;non
Légumes;null; Feuille de thym et romarin;50g (31€/KG);1,55€;non
Légumes;null; Fleur de camomille;40g (99,75€/KG);3,99€;non
Légumes;null; Laurier feuille;30g (71,67€/KG);2,15€;non
Légumes;null; Menthe douce;40g (58,75€/KG);2,35€;non
Légumes;null; Verveine;25g (107,60€/KG);2,69€;non
Légumes;null;LES HERBES DU PERUSSIER Coriandre fraîche - Cat. 1;15g (66€/KG);0,99€;non
Légumes;null;LES HERBES DU PERUSSIER Basilic frais - Cat. 1;15g (66€/KG);0,99€;non
Légumes;null;LES HERBES DU PERUSSIER Ciboulette fraîche - Cat. 1;15g (66€/KG);0,99€;non
Légumes;null; Ciboulette fraîche en pot - Sans résidu de pesticides - Cat. 1;La pièce;3€;non
Légumes;null;LES HERBES DU PERUSSIER Menthe fraîche - Cat. 1;15g (66€/KG);0,99€;non
Légumes;null; Menthe fraîche en pot - Sans résidu de pesticides - Cat. 1;La pièce;3€;non
Légumes;null; Persil frisé - Botte - Cat. 1;La pièce;1,49€;non
Légumes;null; Persil plat - Botte - Cat. 1;La pièce;1,49€;non
